split,image,label,sha256,width,height,box_count,classes,annotation_source
train,images/train/Chicken_eggs_jpeg.rf.9d7560f20d64942296e2b2f1a178e4df.jpg,labels/train/Chicken_eggs_jpeg.rf.9d7560f20d64942296e2b2f1a178e4df.txt,94df725840b9fb4c3f6ba67be06a33af3a447b888c245a9be908a40ddbc0031b,416,416,4,"W-eggs,B-eggs,B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/Chicken_eggs_jpeg.rf.c31f97aea41af7c2651c8efdc16efacc.jpg,labels/train/Chicken_eggs_jpeg.rf.c31f97aea41af7c2651c8efdc16efacc.txt,494caf6fc7eb0fe109c6b90a942cfa1dbe09cae20821df7bb9f37b9c332e5d3c,416,416,4,"W-eggs,B-eggs,B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/Chicken_eggs_jpeg.rf.d8d55a9cefca73a9392bbcca512ff6d1.jpg,labels/train/Chicken_eggs_jpeg.rf.d8d55a9cefca73a9392bbcca512ff6d1.txt,8717626b9e852d93f2c094fe478aaa181c37fec23e994ed920e69b9e7b333e92,416,416,4,"W-eggs,B-eggs,B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171830_jpg.rf.2a22e1931ea1863c5a6b748e356b40d0.jpg,labels/train/IMG_20180410_171830_jpg.rf.2a22e1931ea1863c5a6b748e356b40d0.txt,6d761d584080cf9ba8659226aa555e28b7ad3c46569e1e23c383d8538e96e57b,416,416,2,"B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171830_jpg.rf.cbac837ff8fb345dd301973cd0fa0dd6.jpg,labels/train/IMG_20180410_171830_jpg.rf.cbac837ff8fb345dd301973cd0fa0dd6.txt,439b4adf47e3da27cf8b29516b5f9cd92353bac0b46fab91d89c4bcf39a46c37,416,416,2,"B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171837_jpg.rf.03decbb562af0300a2215e3ee9396cba.jpg,labels/train/IMG_20180410_171837_jpg.rf.03decbb562af0300a2215e3ee9396cba.txt,29441c9feb65ca05b24b67fd9dae3b569c875dcbdeea96e9f5c10eb5dd7e4fd6,416,416,2,"B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171837_jpg.rf.683bf12d24230a43fe0b899ca47e32de.jpg,labels/train/IMG_20180410_171837_jpg.rf.683bf12d24230a43fe0b899ca47e32de.txt,53d5b72a34fa49c0ed4d085bbfe80f0495c077d134d731fc6db38ffb6471ee6d,416,416,2,"B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171854_jpg.rf.03613b4cd4e2440d53844b2f339a7308.jpg,labels/train/IMG_20180410_171854_jpg.rf.03613b4cd4e2440d53844b2f339a7308.txt,c3936e251b468b2d01699c1ab332815473a58492a8addb0e35328904b7b9d368,416,416,2,"B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171854_jpg.rf.1451797363093e5ba29cc24c7038d9b0.jpg,labels/train/IMG_20180410_171854_jpg.rf.1451797363093e5ba29cc24c7038d9b0.txt,8316d31ca7ee16c5455efcd0c94a7ef54954ea6a205b96f7e265b3c63ce854e2,416,416,2,"B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171854_jpg.rf.4143bd601ce3a0b1ede366f80e15a427.jpg,labels/train/IMG_20180410_171854_jpg.rf.4143bd601ce3a0b1ede366f80e15a427.txt,856e55d89426b3b9672dd93e0c75b63fe01f4310d1bf77caa8dfea7055df46e7,416,416,2,"B-eggs,B-eggs",heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171911_jpg.rf.95a44bb5feaf0d9234d172eebc828d7d.jpg,labels/train/IMG_20180410_171911_jpg.rf.95a44bb5feaf0d9234d172eebc828d7d.txt,6b9f0147a3133f1d56d6457c72ce76cde2f4a1ce100e16a40b3c0bfd974694e7,416,416,1,B-eggs,heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171911_jpg.rf.c4707f48c383c6d83cea1cf773d17f66.jpg,labels/train/IMG_20180410_171911_jpg.rf.c4707f48c383c6d83cea1cf773d17f66.txt,602d29d1f6adf215b888b75a4bf3c64c22560537d43f96e1be07cfdab9e7b0d7,416,416,1,B-eggs,heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171911_jpg.rf.fdc4090c32a9717e3f176e14c0214f48.jpg,labels/train/IMG_20180410_171911_jpg.rf.fdc4090c32a9717e3f176e14c0214f48.txt,23fb35276edf51c459e98ef99edc8ba419ce7ab2ab64b4004c8185a5a056f374,416,416,1,B-eggs,heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171923_jpg.rf.395de5584799f93f129aaf644ee2e7f9.jpg,labels/train/IMG_20180410_171923_jpg.rf.395de5584799f93f129aaf644ee2e7f9.txt,f0a59993e69fc07c090998d05c07670346007c4cc807b7c074fd68eef5f73a85,416,416,1,B-eggs,heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171923_jpg.rf.3ab7190ca3142f7819ead81c5ae2e9b1.jpg,labels/train/IMG_20180410_171923_jpg.rf.3ab7190ca3142f7819ead81c5ae2e9b1.txt,5abd154060b0eec65cd30beae18d09db46d1fff63f690158177fd3d53b97f07b,416,416,1,B-eggs,heuristic-contour-generated; requires visual verification
train,images/train/IMG_20180410_171923_jpg.rf.407bd8ba47eca3eb9b1e07722eab04b0.jpg,labels/train/IMG_20180410_171923_jpg.rf.407bd8ba47eca3eb9b1e07722eab04b0.txt,b3e4628444ca6987f8a83d5e3908e383d3c7e21b9c327f73d6b1b0a656be00c4,416,416,1,B-eggs,heuristic-contour-generated; requires visual verification
